client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
25c1d04b50cee236ac83edbf68004e14d84b9c09c8bab3bfd969f150bae687a1be9e700b9c3fa6d474e5c8d23561ce3d67e5e7911880caeb00433ef79f09ce4d	common_voice_pa-IN_21717906.mp3	ਆਊਟਡੋਰਸ ਚ ਪਏ ਟੋਇਆਂ ਦੀ ਰੀਪੇਅਰ ਕਰਵਾਓ	0	2				pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917709.mp3	ਜਗਜੀਤ ਦੇ ਨਾਲ ਸ਼ਮਸ਼ੇਰ ਸੰਧੂ ਵੀ ਢੁੱਡੀਕੇ ਆਉਂਦਾ	1	2	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917713.mp3	ਲੇਕਿਨ ਉਥੇ ਉਸਦਾ ਬਹੁਤਾ ਮਨ ਨਾ ਲੱਗਾ	1	2	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917716.mp3	ਦਰਅਸਲ ਇੱਥੇ ਕੁਝ ਹੁੰਦਾ ਤਾਂ ਤੁਹਾਨੂੰ ਲੱਭਦਾ	1	2	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917717.mp3	ਮੈਦਾਨ ਦਾ ਘਾਹ ਹਰਾ ਕੂਲਾ ਤੇ ਨਰਮ ਸੀ	1	2	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917715.mp3	ਉਹ ਤਾਂ ਕਦੇ ਰਿਟਾਇਰ ਹੀ ਨਹੀਂ ਹੋਏ	1	2	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917726.mp3	ਇਹ ਫੈਸਲਾ ਵੀ ਕਮਿਉਨਿਟੀ ਨੇ ਹੀ ਕਰਨਾ ਹੈ	1	2	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917725.mp3	ਜਿਥੇ ਪਾਰਟੀ ਦਾ ਐਲਾਨ ਕੀਤਾ ਜਾਵੇਗਾ	1	2	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917728.mp3	ਕਿਹੜਾ ਪਿੰਡ ਐ ਸੰਤਰੀ ਜੀ	0	2	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917712.mp3	ਮੈਂ ਰੌਬਿਨ ਹੁੱਡ ਹਾਊਸ ਦਾ ਮੈਂਬਰ ਸੀ	1	2	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917742.mp3	ਬੱਚਿਆਂ ਨੂੰ ਨੇਜਿਆਂ ਤੇ ਟੰਗਿਆ ਗਿਆ	1	2	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917743.mp3	ਉਦੋਂ ਤੋਂ ਹੀ ਨਿਆਂਪਾਲਿਕਾ ਨੂੰ ਸਿਆਸਤ ਨਾਲ ਜੋੜ ਕੇ ਦੇਖਿਆ ਜਾਣ ਲੱਗਾ	1	2	fifties	male		pa-IN	
